ID;Please select your age range.;Please select your gender.;What type of secondary school did you attend?;What is your average matric result?;Please select what type of student are you at Eduvos;Which faculty are you in at Eduvos?;What is your current grade average? (The current average of the program you are enrolled in).;How many hours do you study every week on average?;Do you have access to the following? Please select all that applies to you .);Has online learning had an impact on your ability to study?
201;21-23 years;Female;State/Public;60-69%;Part-time student;Commerce and Law;80-89%;20 - 30 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
202;17-20 years;Male;State/Public;60-69%;Full-time student;Information Technology;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
203;21-23 years;Female;State/Public;40-49%;Full-time student;Information Technology;80-89%;1 - 10 hours weekly;"Access to the internet to help you with your studies.;A location or place where you may study;Electricity at your place of study;";Yes
204;21-23 years;Female;State/Public;60-69%;Full-time student;Arts and Humanities;70-79%;10 - 20 hours weekly;"Electricity at your place of study;A location or place where you may study;";Yes
205;21-23 years;Female;State/Public;60-69%;Full-time student;Arts and Humanities;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
206;21-23 years;Male;State/Public;60-69%;Full-time student;Information Technology;90-100%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
207;17-20 years;Female;State/Public;70-79%;Full-time student;Commerce and Law;60-69%;1 - 10 hours weekly;"Electricity at your place of study;A location or place where you may study;";Yes
208;21-23 years;Female;State/Public;80-89%;Full-time student;Arts and Humanities;70-79%;20 - 30 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
209;17-20 years;Female;State/Public;70-79%;Full-time student;Commerce and Law;80-89%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
210;21-23 years;Female;Private;70-79%;Full-time student;Commerce and Law;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
211;21-23 years;Female;Private;60-69%;Full-time student;Applied Sciences;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
212;21-23 years;Male;State/Public;60-69%;Full-time student;Information Technology;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
213;17-20 years;Male;Private;70-79%;Full-time student;Information Technology;70-79%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;";Yes
214;17-20 years;Female;State/Public;60-69%;Full-time student;Arts and Humanities;50-59%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
215;17-20 years;Female;Private;60-69%;Full-time student;Information Technology;80-89%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
216;17-20 years;Male;State/Public;60-69%;Full-time student;Information Technology;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
217;24-26 years;Female;State/Public;60-69%;Full-time student;Applied Sciences;60-69%;20 - 30 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
218;17-20 years;Female;State/Public;70-79%;Full-time student;Arts and Humanities;60-69%;10 - 20 hours weekly;"Electricity at your place of study;";Yes
219;17-20 years;Female;State/Public;60-69%;Full-time student;Applied Sciences;60-69%;30+ hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
220;17-20 years;Female;State/Public;60-69%;Full-time student;Commerce and Law;70-79%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
221;17-20 years;Male;State/Public;50-59%;Full-time student;Information Technology;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
222;17-20 years;Female;State/Public;80-89%;Full-time student;Commerce and Law;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
223;21-23 years;Male;State/Public;60-69%;Full-time student;Arts and Humanities;70-79%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
224;17-20 years;Female;State/Public;50-59%;Full-time student;Arts and Humanities;60-69%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
225;;;;;;;;;;
226;17-20 years;Female;State/Public;70-79%;Full-time student;Commerce and Law;80-89%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
227;21-23 years;Male;Private;60-69%;Full-time student;Information Technology;60-69%;10 - 20 hours weekly;"Access to the internet to help you with your studies.;Electricity at your place of study;A location or place where you may study;";Yes
228;17-20 years;Female;State/Public;70-79%;Full-time student;Arts and Humanities;70-79%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
229;17-20 years;Female;Private;50-59%;Full-time student;Information Technology;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
230;17-20 years;Male;State/Public;60-69%;Full-time student;Commerce and Law;60-69%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
231;21-23 years;Female;Private;70-79%;Full-time student;Commerce and Law;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;";No
232;17-20 years;Female;Private;70-79%;Full-time student;Information Technology;80-89%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
233;24-26 years;Male;State/Public;50-59%;Full-time student;Information Technology;50-59%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;";Yes
234;17-20 years;Female;Private;70-79%;Full-time student;Arts and Humanities;80-89%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
235;17-20 years;Female;State/Public;60-69%;Full-time student;Information Technology;90-100%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
236;17-20 years;Male;State/Public;60-69%;Full-time student;Arts and Humanities;60-69%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;";No
237;17-20 years;Female;Private;50-59%;Full-time student;Arts and Humanities;50-59%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
238;17-20 years;Female;Private;60-69%;Full-time student;Commerce and Law;50-59%;1 - 10 hours weekly;"A location or place where you may study;";Yes
239;17-20 years;Male;State/Public;70-79%;Full-time student;Commerce and Law;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
240;21-23 years;Female;State/Public;50-59%;Full-time student;Arts and Humanities;60-69%;1 - 10 hours weekly;"Access to the internet to help you with your studies.;Electricity at your place of study;";Yes
241;17-20 years;Male;Private;50-59%;Full-time student;Information Technology;70-79%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;";No
242;17-20 years;Female;Private;60-69%;Full-time student;Arts and Humanities;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
243;17-20 years;Female;Private;70-79%;Full-time student;Arts and Humanities;80-89%;1 - 10 hours weekly;"Electricity at your place of study;A location or place where you may study;";No
244;21-23 years;Male;State/Public;70-79%;Full-time student;Arts and Humanities;50-59%;10 - 20 hours weekly;"Electricity at your place of study;";No
245;17-20 years;Male;State/Public;60-69%;Full-time student;Commerce and Law;70-79%;10 - 20 hours weekly;"Access to the internet to help you with your studies.;Electricity at your place of study;";No
246;17-20 years;Female;State/Public;60-69%;Full-time student;Commerce and Law;60-69%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;";Yes
247;21-23 years;Female;Private;50-59%;Full-time student;Information Technology;90-100%;1 - 10 hours weekly;"A location or place where you may study;Access to the internet to help you with your studies.;Electricity at your place of study;";No
248;21-23 years;Female;State/Public;60-69%;Full-time student;Arts and Humanities;50-59%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;";Yes
249;17-20 years;Male;State/Public;60-69%;Full-time student;Information Technology;80-89%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
250;17-20 years;Female;State/Public;70-79%;Full-time student;Commerce and Law;50-59%;20 - 30 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
251;17-20 years;Male;State/Public;60-69%;Full-time student;Information Technology;70-79%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
252;17-20 years;Male;Private;60-69%;Full-time student;Information Technology;70-79%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
253;17-20 years;Male;State/Public;50-59%;Full-time student;Information Technology;60-69%;20 - 30 hours weekly;"Access to the internet to help you with your studies.;Electricity at your place of study;A location or place where you may study;";Yes
254;17-20 years;Male;Private;60-69%;Full-time student;Commerce and Law;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
255;17-20 years;Female;State/Public;60-69%;Full-time student;Applied Sciences;50-59%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
256;17-20 years;Male;Private;50-59%;Full-time student;Information Technology;Below 40%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
257;21-23 years;Male;State/Public;60-69%;Was full-time for two years before switching to part-time;Information Technology;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
258;21-23 years;Male;Private;60-69%;Full-time student;Information Technology;80-89%;30+ hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
259;17-20 years;Female;Private;60-69%;Full-time student;Arts and Humanities;50-59%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;";Yes
260;24-26 years;Female;Private;60-69%;Full-time student;Arts and Humanities;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
261;21-23 years;Female;Private;60-69%;Full-time student;Arts and Humanities;60-69%;20 - 30 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
262;21-23 years;Female;State/Public;70-79%;Full-time student;Commerce and Law;80-89%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;";Yes
263;17-20 years;Female;Private;70-79%;Full-time student;Commerce and Law;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
264;24-26 years;Female;Private;60-69%;Full-time student;Commerce and Law;50-59%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
265;17-20 years;Male;State/Public;60-69%;Full-time student;Information Technology;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
266;21-23 years;Female;State/Public;40-49%;Full-time student;Commerce and Law;70-79%;30+ hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
267;17-20 years;Male;Private;70-79%;Full-time student;Information Technology;70-79%;20 - 30 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
268;17-20 years;Female;State/Public;60-69%;Full-time student;Information Technology;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
269;21-23 years;Male;Private;70-79%;Full-time student;Information Technology;80-89%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
270;17-20 years;Female;Private;60-69%;Full-time student;Commerce and Law;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;";No
271;17-20 years;Female;Private;70-79%;Full-time student;Commerce and Law;50-59%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
272;24-26 years;Female;Private;60-69%;Full-time student;Commerce and Law;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
273;24-26 years;Male;State/Public;60-69%;Part-time student;Applied Sciences;70-79%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;";No
274;17-20 years;Female;State/Public;70-79%;Full-time student;Arts and Humanities;50-59%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;";Yes
275;26 +;Female;State/Public;60-69%;Part-time student;Commerce and Law;50-59%;1 - 10 hours weekly;"Access to the internet to help you with your studies.;Electricity at your place of study;A location or place where you may study;";No
276;26 +;Male;State/Public;50-59%;online;Information Technology;80-89%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;";Yes
277;26 +;Male;State/Public;60-69%;Part-time student;Information Technology;80-89%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;";Yes
278;21-23 years;Female;Mission;70-79%;Full-time student;Arts and Humanities;50-59%;30+ hours weekly;"A location or place where you may study;Access to the internet to help you with your studies.;Electricity at your place of study;";No
279;21-23 years;Male;State/Public;50-59%;Full-time student;Commerce and Law;50-59%;10 - 20 hours weekly;"Electricity at your place of study;";Yes
280;26 +;Female;Private;80-89%;Part-time student;Commerce and Law;80-89%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
281;17-20 years;Male;State/Public;70-79%;Full-time student;Information Technology;70-79%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
282;17-20 years;Female;Private;70-79%;Full-time student;Arts and Humanities;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
283;21-23 years;Female;Private;60-69%;Full-time student;Commerce and Law;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
284;17-20 years;Female;Private;70-79%;Full-time student;Information Technology;90-100%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
285;17-20 years;Female;State/Public;70-79%;Full-time student;Information Technology;60-69%;10 - 20 hours weekly;"Electricity at your place of study;";No
286;17-20 years;Female;State/Public;60-69%;Full-time student;Commerce and Law;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
287;21-23 years;Female;Private;70-79%;Full-time student;Commerce and Law;70-79%;20 - 30 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
288;17-20 years;Male;Private;80-89%;Full-time student;Information Technology;90-100%;30+ hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
289;17-20 years;Female;State/Public;60-69%;Full-time student;Commerce and Law;80-89%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
290;21-23 years;Male;Private;60-69%;Full-time student;Commerce and Law;60-69%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
291;17-20 years;Male;Private;80-89%;Full-time student;Information Technology;80-89%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
292;21-23 years;Female;Private;50-59%;Full-time student;Commerce and Law;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
293;17-20 years;Male;Private;60-69%;Full-time student;Commerce and Law;80-89%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
294;21-23 years;Male;State/Public;60-69%;Full-time student;Information Technology;70-79%;20 - 30 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;";Yes
295;21-23 years;Male;State/Public;70-79%;Full-time student;Applied Sciences;70-79%;20 - 30 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
296;17-20 years;Male;State/Public;40-49%;Full-time student;Information Technology;70-79%;10 - 20 hours weekly;"Electricity at your place of study;A location or place where you may study;";Yes
297;17-20 years;Female;State/Public;70-79%;Full-time student;Information Technology;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
298;17-20 years;Female;Private;70-79%;Full-time student;Information Technology;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
299;17-20 years;Female;State/Public;60-69%;Full-time student;humanities in Law;70-79%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
300;21-23 years;Male;State/Public;60-69%;Full-time student;Information Technology;90-100%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
301;21-23 years;Male;Private;60-69%;Full-time student;Applied Sciences;90-100%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
302;26 +;Male;State/Public;70-79%;Full-time student;Commerce and Law;50-59%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
303;21-23 years;Male;State/Public;70-79%;Full-time student;Information Technology;80-89%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
304;21-23 years;Male;Private;70-79%;Full-time student;Arts and Humanities;70-79%;30+ hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
305;17-20 years;Female;State/Public;80-89%;Full-time student;Information Technology;70-79%;20 - 30 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;";No
306;17-20 years;Male;State/Public;60-69%;Full-time student;Arts and Humanities;80-89%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
307;21-23 years;Female;State/Public;70-79%;Full-time student;Commerce and Law;80-89%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
308;21-23 years;Male;Private;80-89%;Full-time student;Information Technology;80-89%;20 - 30 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
309;21-23 years;Female;State/Public;70-79%;Full-time student;Information Technology;90-100%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
310;24-26 years;Female;State/Public;60-69%;Full-time student;Applied Sciences;60-69%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
311;17-20 years;Female;State/Public;60-69%;Full-time student;Information Technology;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
312;17-20 years;Female;State/Public;60-69%;Full-time student;Applied Sciences;60-69%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
313;17-20 years;Male;State/Public;70-79%;Full-time student;Information Technology;80-89%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
314;17-20 years;Male;Private;50-59%;Full-time student;Information Technology;70-79%;30+ hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
315;17-20 years;Female;State/Public;70-79%;Full-time student;Commerce and Law;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
316;17-20 years;Female;State/Public;50-59%;Full-time student;Applied Sciences;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
317;17-20 years;Male;State/Public;60-69%;Full-time student;Information Technology;80-89%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
318;17-20 years;Female;State/Public;50-59%;Full-time student;Applied Sciences;70-79%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
319;17-20 years;Male;Private;50-59%;Full-time student;Information Technology;80-89%;20 - 30 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
320;17-20 years;Female;Private;70-79%;Full-time student;Applied Sciences;70-79%;10 - 20 hours weekly;"A location or place where you may study;Access to the internet to help you with your studies.;Electricity at your place of study;";Yes
321;21-23 years;Female;Private;70-79%;Full-time student;Arts and Humanities;70-79%;20 - 30 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
322;17-20 years;Male;State/Public;80-89%;Full-time student;Commerce and Law;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
323;17-20 years;Male;State/Public;50-59%;Full-time student;Information Technology;80-89%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
324;17-20 years;Male;State/Public;70-79%;Full-time student;Information Technology;90-100%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
325;17-20 years;Female;State/Public;70-79%;Full-time student;Arts and Humanities;80-89%;10 - 20 hours weekly;"A location or place where you may study;Access to the internet to help you with your studies.;Electricity at your place of study;";No
326;21-23 years;Male;State/Public;40-49%;Full-time student;Information Technology;80-89%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
327;17-20 years;Female;Private;70-79%;Full-time student;Applied Sciences;50-59%;10 - 20 hours weekly;"A location or place where you may study;";Yes
328;17-20 years;Male;State/Public;60-69%;Full-time student;Commerce and Law;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
329;17-20 years;Female;Private;70-79%;Full-time student;Arts and Humanities;60-69%;30+ hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
330;17-20 years;Female;State/Public;60-69%;Full-time student;Commerce and Law;50-59%;10 - 20 hours weekly;"Electricity at your place of study;A location or place where you may study;";Yes
331;17-20 years;Female;State/Public;50-59%;Full-time student;Information Technology;50-59%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
332;21-23 years;Female;State/Public;70-79%;Full-time student;Arts and Humanities;60-69%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
333;21-23 years;Female;State/Public;60-69%;Full-time student;Arts and Humanities;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
334;17-20 years;Female;State/Public;60-69%;Full-time student;Commerce and Law;60-69%;1 - 10 hours weekly;"A location or place where you may study;";Yes
335;17-20 years;Female;State/Public;60-69%;Full-time student;Arts and Humanities;60-69%;1 - 10 hours weekly;"Access to the internet to help you with your studies.;Electricity at your place of study;";No
336;17-20 years;Male;Private;60-69%;Full-time student;Information Technology;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
337;21-23 years;Female;State/Public;60-69%;Full-time student;Commerce and Law;80-89%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
338;26 +;Male;State/Public;60-69%;Part-time student;Information Technology;70-79%;1 - 10 hours weekly;"Access to the internet to help you with your studies.;";Yes
339;17-20 years;Male;Private;50-59%;Full-time student;Information Technology;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
340;17-20 years;Male;State/Public;60-69%;Full-time student;Information Technology;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
341;17-20 years;Female;State/Public;60-69%;Full-time student;Commerce and Law;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
342;24-26 years;Female;Private;50-59%;Part-time student;Commerce and Law;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
343;21-23 years;Female;State/Public;50-59%;Full-time student;Arts and Humanities;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
344;17-20 years;Female;State/Public;60-69%;Full-time student;Applied Sciences;70-79%;10 - 20 hours weekly;"Electricity at your place of study;A location or place where you may study;Access to the internet to help you with your studies.;";Yes
345;17-20 years;Male;State/Public;60-69%;Full-time student;Information Technology;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
346;17-20 years;Female;Private;60-69%;Full-time student;Information Technology;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
347;24-26 years;Female;Private;50-59%;Full-time student;Arts and Humanities;50-59%;1 - 10 hours weekly;"Electricity at your place of study;";Yes
348;17-20 years;Female;Private;40-49%;Full-time student;Information Technology;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
349;21-23 years;Male;State/Public;60-69%;Full-time student;Information Technology;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
350;;;;;;;;;;
351;17-20 years;Male;Private;70-79%;Full-time student;Commerce and Law;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
352;17-20 years;Male;State/Public;60-69%;Full-time student;Information Technology;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
353;17-20 years;Female;State/Public;50-59%;Full-time student;Commerce and Law;Below 40%;10 - 20 hours weekly;"A location or place where you may study;Electricity at your place of study;";Yes
354;21-23 years;Female;State/Public;60-69%;Full-time student;Information Technology;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
355;17-20 years;Female;Private;70-79%;Full-time student;Arts and Humanities;60-69%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
356;17-20 years;Male;Private;50-59%;Full-time student;Information Technology;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
357;21-23 years;Female;Private;50-59%;Full-time student;Applied Sciences;50-59%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
358;17-20 years;Female;State/Public;60-69%;Full-time student;Applied Sciences;70-79%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
359;21-23 years;Male;Private;60-69%;Full-time student;Arts and Humanities;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
360;21-23 years;Male;State/Public;60-69%;Full-time student;Information Technology;50-59%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
361;17-20 years;Male;State/Public;70-79%;Full-time student;Information Technology;80-89%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
